# width seed flow density speed
2.399999999999999911e+00 1.000000000000000000e+00 2.717918850708605838e+00 3.428820888075835960e+00 2.172024872391223882e-01
2.399999999999999911e+00 2.000000000000000000e+00 2.623196552370250956e+00 3.483848314606742047e+00 2.055750730445976837e-01
2.399999999999999911e+00 3.000000000000000000e+00 2.668191347436635663e+00 3.504795918367347163e+00 2.090827401997164825e-01
2.399999999999999911e+00 4.000000000000000000e+00 2.710027100271008127e+00 3.439495066744051588e+00 2.152917791603202458e-01
2.399999999999999911e+00 5.000000000000000000e+00 2.809552478426656119e+00 3.399626095925734948e+00 2.243183686710653324e-01
3.600000000000000089e+00 1.000000000000000000e+00 4.093309859154937946e+00 2.716421661012689892e+00 3.519263040642135465e-01
3.600000000000000089e+00 2.000000000000000000e+00 4.377736085053167692e+00 2.508033203909492581e+00 3.934566881790021453e-01
3.600000000000000089e+00 3.000000000000000000e+00 4.166666666666675845e+00 2.663650793650794046e+00 3.597043520191995913e-01
3.600000000000000089e+00 4.000000000000000000e+00 4.065393518518527038e+00 2.739747243216454020e+00 3.418957678362030128e-01
3.600000000000000089e+00 5.000000000000000000e+00 4.089979550102257555e+00 2.742212909682261834e+00 3.474841441257547903e-01
5.000000000000000000e+00 1.000000000000000000e+00 5.196733481811443234e+00 2.368504687748291815e+00 4.138976236779862150e-01
5.000000000000000000e+00 2.000000000000000000e+00 5.761316872427995506e+00 2.179628324819447016e+00 5.018257818630359468e-01
5.000000000000000000e+00 3.000000000000000000e+00 5.255255255255265823e+00 2.329865016872890937e+00 4.246222349011518071e-01
5.000000000000000000e+00 4.000000000000000000e+00 5.502958579881667589e+00 2.209979736575481635e+00 4.495062490259794652e-01
5.000000000000000000e+00 5.000000000000000000e+00 5.316742081447974222e+00 2.323244552058111090e+00 4.311834429340251629e-01
